Site,Campaign,pH,EC,NO3,PO4,Fe,Zn,Cu,Cd,NTU,COD,BOD,DO,E.coli,37 deg,F coliforms,Feacal strep,total plates,,AMP,CIP,CPM,GEN,CTX,MEM
1,C1,7.09,1394,2.98,8.07,1.489,0.115,0,0,172,325,33.15,1.41,5000,32000,11000,9000,372000,93,R,R,S,S,S,S
1,C2,7.28,1040,1.41,5.76,1.5,0.121,0,0,112,354,26.83,0.83,8000,30000,16000,7000,348000,87,R,R,S,I,S,S
1,C3,7.58,1236,2.56,6.42,1.375,0.093,0,0,158,320,25.53,1.6,4000,29000,15000,8000,328000,82,R,I,S,R,S,S
1,C4,7.18,1106,2.07,9.83,1.621,0.11,0,0,136,381,28.14,1.83,5000,35000,17000,7000,392000,98,R,R,S,I,S,S
1,C5,7.04,1032,1.68,6.38,1.532,0.109,0,0,193,336,27.47,1.33,6000,27000,18000,5000,340000,85,R,I,S,S,S,S
2,C1,7.28,1297,1.91,5.37,0.656,0.117,0,0,120,378,25.05,1.64,5000,19000,8000,5000,300000,75,R,I,S,I,I,S
2,C2,7.01,1040,1.45,6.42,0.597,0.084,0,0,95,352,32.51,2.32,3000,24000,6000,4000,328000,82,R,R,S,R,S,S
2,C3,7.68,1798,2.38,5.71,0.583,0.113,0,0,141,347,27.47,2,3000,21000,5000,3000,316000,79,R,R,S,S,I,S
2,C4,7.35,1106,1.05,7.18,0.719,0.089,0,0,112,279,24.92,1.58,5000,17000,7000,4000,336000,84,R,I,S,I,S,S
2,C5,7.05,1032,1.33,5.95,0.685,0.097,0,0,103,316,27.58,1.74,4000,22000,8000,5000,308000,77,R,R,S,R,S,S
3,C1,7.28,1292,1.365,5.09,0.476,0.095,0,0,87,220,27.08,2.11,2000,15000,3000,1000,228000,57,R,R,S,I,S,S
3,C2,7.01,1040,0.99,5.89,0.543,0.086,0,0,93,268,28.4,1.98,5000,18000,7000,5000,260000,65,R,R,S,I,I,S
3,C3,7.44,915,1.08,6.18,0.561,0.098,0,0,109,205,25.14,2.24,4000,14000,5000,3000,232000,58,R,I,S,I,S,S
3,C4,7.35,1106,1.55,7.44,0.496,0.103,0,0,115,241,26.5,2.66,3000,19000,5000,4000,248000,62,R,R,S,S,S,S
3,C5,7.61,1032,1.7,5.38,0.529,0.105,0,0,98,238,27.83,2,4000,22000,4000,3000,212000,53,R,R,S,I,S,S
